,count,mean,std,min,25%,50%,75%,max
Finishing,18147.0,45.5502286879374,19.527445192815115,2.0,30.0,49.0,62.0,95.0
HeadingAccuracy,18147.0,52.300765966826475,17.38175307568796,4.0,44.0,56.0,64.0,94.0
ShortPassing,18147.0,58.695431751804705,14.696075355136157,7.0,54.0,62.0,68.0,93.0
Volleys,18147.0,42.912216895354604,17.69590035333706,4.0,30.0,44.0,57.0,90.0
Dribbling,18147.0,55.37515842839037,18.912223823010184,4.0,49.0,61.0,68.0,97.0
Curve,18147.0,47.176282581142885,18.39600915612995,6.0,34.0,48.0,62.0,94.0
FKAccuracy,18147.0,42.86603846365791,17.480034334217645,3.0,31.0,41.0,57.0,94.0
LongPassing,18147.0,52.72138645506144,15.325210649314878,9.0,43.0,56.0,64.0,93.0
BallControl,18147.0,58.37482779522786,16.68564329707531,5.0,54.0,63.0,69.0,96.0
Acceleration,18147.0,64.61282856670525,14.930320050922436,12.0,57.0,67.0,75.0,97.0
SprintSpeed,18147.0,64.72623574144487,14.651775505691106,12.0,57.0,67.0,75.0,96.0
Agility,18147.0,63.50129497988648,14.768955616927215,14.0,55.0,66.0,74.0,96.0
Reactions,18147.0,61.83914696644074,9.01105616129524,21.0,56.0,62.0,68.0,96.0
Balance,18147.0,63.96429161844933,14.136072636909512,16.0,56.0,66.0,74.0,96.0
ShotPower,18147.0,55.465200859646224,17.235534165079233,2.0,45.0,59.0,68.0,95.0
Jumping,18147.0,65.09103433074337,11.822327200639144,15.0,58.0,66.0,73.0,95.0
Stamina,18147.0,63.221579324406235,15.896380739593713,12.0,56.0,66.0,74.0,96.0
Strength,18147.0,65.31862015760181,12.552479362174553,17.0,58.0,67.0,74.0,97.0
LongShots,18147.0,47.113186752631286,19.2631419688071,3.0,33.0,51.0,62.0,94.0
Aggression,18147.0,55.87606766958726,17.366534205641607,11.0,44.0,59.0,69.0,95.0
Interceptions,18147.0,46.70276078690693,20.697461591408388,3.0,26.0,52.0,64.0,92.0
Positioning,18147.0,49.96219760842013,19.530468990199804,2.0,38.0,55.0,64.0,95.0
Vision,18147.0,53.407780900424314,14.146593639933323,10.0,44.0,55.0,64.0,94.0
Penalties,18147.0,48.546371301041496,15.703113480550133,5.0,39.0,49.0,60.0,92.0
Composure,18147.0,58.65112690802888,11.437138088546954,3.0,51.0,60.0,67.0,96.0
Marking,18147.0,47.286052791094946,19.900449503517244,3.0,30.0,53.0,64.0,94.0
StandingTackle,18147.0,47.701879098473576,21.663629900385082,2.0,27.0,55.0,66.0,93.0
SlidingTackle,18147.0,45.66633603350416,21.287960582714526,3.0,24.0,52.0,64.0,91.0
GKDiving,18147.0,16.616906375709483,17.698611946294687,1.0,8.0,11.0,14.0,90.0
GKHandling,18147.0,16.393839202071966,16.909970683624525,1.0,8.0,11.0,14.0,92.0
GKKicking,18147.0,16.233041274039785,16.504102520369592,1.0,8.0,11.0,14.0,91.0
GKPositioning,18147.0,16.389651182013555,17.037031160259268,1.0,8.0,11.0,14.0,90.0
GKReflexes,18147.0,16.7120185154571,17.95752088730655,1.0,8.0,11.0,14.0,94.0
Duty,18147.0,1.641924285005786,0.9109237019311595,0.0,1.0,2.0,2.0,3.0
